1994group.ac.uk, The 1994 Group
omcrg.ac.uk, Oxford Mathematical and Computing Research Group
omii.ac.uk, The Engineering and Physical Sciences Research Council
omni.ac.uk, The University of Manchester
onecall.ac.uk, Farnell Electronic Components Ltd
onlinesurveys.ac.uk, University of Bristol
onlinm.ac.uk, University of Leeds
opdems.ac.uk, Higher Education Funding Council for England
open.ac.uk, The Open University
opened.ac.uk, The Open University
openfields.ac.uk, Harper Adams University College
opensource.ac.uk, University of Bristol
openuniversity.ac.uk, The Open University
openurl.ac.uk, University of Edinburgh
opera-archive.ac.uk, The Opera Archive Project- School of Music- University of Leeds
orchardhill.ac.uk, London Borough of Sutton
orchid.ac.uk, University of Southampton
orientalmed.ac.uk, International College of Oriental Medicine
ormskirk.ac.uk, Skelmersdale and Ormskirk Colleges
orpington.ac.uk, Orpington College of Further Education
orsas.ac.uk, Higher Education Funding Council for England
osfc.ac.uk, Oldham Sixth Form College
osier.ac.uk, The Higher Education Academy
oss-watch.ac.uk, University of Oxford
otc.ac.uk, Oxford Tutorial College
otleycollege.ac.uk, Otley College of Agriculture and Horticulture
otleyonline.ac.uk, Otley College of Agriculture and Horticulture
oubs.ac.uk, The Open University
outduction.ac.uk, The Higher Education Academy
outofhourshelp.ac.uk, University of Northumbria at Newcastle
ovc.ac.uk, Oxford Virtual Campus
owl-elearning.ac.uk, University of Sunderland
owsc.ac.uk, Manchester Metropolitan University
ox.ac.uk, University of Oxford
oxcis.ac.uk, Centre for Islamic Studies - Oxford
oxdent.ac.uk, University of Oxford PostGraduate Dental Education
oxford-brookes.ac.uk, Oxford Brookes University
oxford-cherwell.ac.uk, Oxford and Cherwell Valley College
oxford-house-college.ac.uk, Oxford House College
oxford.ac.uk, University of Oxford
oxfordadvancedstudies.ac.uk, Oxford Tutorial College
oxfordbrookes.ac.uk, Oxford Brookes University
oxfordcollege.ac.uk, Oxford and Cherwell Valley College
oxfordcollegeofmarketing.ac.uk, Oxford College of Marketing
oxforddrama.ac.uk, The Oxford School of Drama
oxfordgsb.ac.uk, Oxford Graduate School of Business
oxfordtutorialcollege.ac.uk, Oxford Tutorial College
oxilp.ac.uk, Oxford Brookes University
pads.ac.uk, University of Cambridge
pahc.ac.uk, University of Plymouth
paisley.ac.uk, University of the West of Scotland
pala.ac.uk, Poetics and Linguistics Association
palaeography.ac.uk, University of London
palatine.ac.uk, University of Lancaster
palmers.ac.uk, Palmer's College
palmerscollege.ac.uk, Palmer's College
pals.ac.uk, Peterborough City Council
panda.ac.uk, University of York
parabilis.ac.uk, Procureweb
paradigm.ac.uk, University of Oxford
park-college.ac.uk, Sussex Downs College
parkcol.ac.uk, Park College
parklane.ac.uk, Leeds City College
parklanecoll.ac.uk, Leeds City College
parksandgardens.ac.uk, Parks and Gardens Data Partnership
particlephysics.ac.uk, Science and Technology Facilities Council
partneriaethaberbangor.ac.uk, Research Enterprise Partnership
pase.ac.uk, King's College London
paston.ac.uk, Paston College
pathcal.ac.uk, University of Edinburgh
pathways.ac.uk, Faculty of Education- University of the West of England
patina.ac.uk, University of Bristol
patsy.ac.uk, Division of Informatics- University of Edinburgh
paul-mellon-centre.ac.uk, The Paul Mellon Centre
pble.ac.uk, Project Based Learning in Engineering
pca.ac.uk, Plymouth College of Art
pcad.ac.uk, Plymouth College of Art and Design
pcae.ac.uk, Peterborough City Council
pcfe.ac.uk, City College Plymouth
pcfeonline.ac.uk, City College Plymouth
pcl.ac.uk, Polytechnic of Central London
pcmd.ac.uk, University of Plymouth
pdfgroup.ac.uk, Professional Development Foundation
pds.ac.uk, University of Plymouth
pearl.ac.uk, Personal Educational Advice for Rural Learners
peas.ac.uk, Biotechnology and Biological Sciences Research Council
pedagogicequality.ac.uk, University of Nottingham
peep.ac.uk, University of Bristol
peerlearning.ac.uk, The FDTL3 supported Peer Assisted Learning Project
pembrokeshire.ac.uk, Pembrokeshire College
pembs.ac.uk, Pembrokeshire College
pencoed.ac.uk, Pencoed College
pendcoll.ac.uk, Salford City College
pengwerncollege.ac.uk, Royal Mencap Society
peninsula.ac.uk, University of Plymouth
peninsular.ac.uk, University of Plymouth
pennine.ac.uk, Pennine Camphill Community Ltd
penwith.ac.uk, Truro and Penwith College
penwithcollege.ac.uk, Truro and Penwith College
penzance.ac.uk, Penwith College
peoples.ac.uk, The People's College
pepa.ac.uk, The Institute for Fiscal Studies
pershore.ac.uk, "Warwickshire College,  Royal Leamington Spa,  Rugby and Moreton Morrell"
perth.ac.uk, Perth College
perthcoll.ac.uk, Perth College
peterborough.ac.uk, Peterborough Regional College
petroc.ac.uk, Petroc College
pggc.ac.uk, Glyndwr University
pgreen.ac.uk, John Innes Centre
pharmacy.ac.uk, University of London
phc.ac.uk, University of Plymouth
philtar.ac.uk, The University of Cumbria
phoenix.ac.uk, Phoenix College
photonics.ac.uk, The Institute of Photonics- Strathclyde
phr.ac.uk, University of Southampton
pi-project.ac.uk, University of Nottingham
pickereurope.ac.uk, Picker Institute Europe
pickering.ac.uk, George Pickering Postgraduate Centre
pier18.ac.uk, London Metropolitan University
pion.ac.uk, University of Plymouth
pldfscotland.ac.uk, Scottish Further Education Unit
plumpton.ac.uk, Plumpton College
plumptononline.ac.uk, Plumpton College
plus.ac.uk, Postgraduate Lifescience Universities in Scotland
plym.ac.uk, University of Plymouth
plymouth-marine-laboratory.ac.uk, Plymouth Marine Laboratory
plymouth.ac.uk, University of Plymouth
plymouthart.ac.uk, Plymouth College of Art
plymouthcfe.ac.uk, Plymouth College of FE
pml.ac.uk, Plymouth Marine Laboratory
pms.ac.uk, University of Plymouth
podium.ac.uk, London Higher
point.ac.uk, Nottingham Trent University
pol.ac.uk, Proudman Oceanographic Laboratory
political-science.ac.uk, London School of Economics
politicsinaction.ac.uk, Oxford Brookes University
poly-of-wales.ac.uk, Glamorgan University
poms.ac.uk, King's College London
pontypridd.ac.uk, Coleg Morgannwg
pooleacl.ac.uk, Borough of Poole
port.ac.uk, University of Portsmouth
portal.ac.uk, Distributed National Electronic Resource Portals
portfolio.ac.uk, The Distributed National Electronic Resource
porth.ac.uk, Centre for Welsh Medium Higher Education
portland.ac.uk, Portland College
portsmouth-college.ac.uk, Portsmouth College
portsmouth.ac.uk, University of Portsmouth
postgrad.ac.uk, Postgraduate Survey - University of Sheffield
postgraducas.ac.uk, UCAS Limited
poverty.ac.uk, The Open University
pow.ac.uk, Glamorgan University
powia.ac.uk, The Prince of Wales Institute of Architecture
pparc.ac.uk, Particle Physics Research Council
ppre.ac.uk, Cornwall College
practicum.ac.uk, University of Glasgow
premia.ac.uk, The Careers Research and Advisory Centre (CRAC) Ltd
prescribe.ac.uk, British Pharmacological Society
preston.ac.uk, Preston College
prestoncoll.ac.uk, Preston College
priestley.ac.uk, Priestley College
priestleycollege.ac.uk, Priestley College
prifysgolioncymru.ac.uk, Committee of Vice Chancellors & Principals
principlesinpatterns.ac.uk, University of Strathclyde
procureweb.ac.uk, JISC Services Management Company Ltd
profile.ac.uk, PROFILE
programme3.ac.uk, The Macaulay Land Use Research Institute
promotingpartnership.ac.uk, The Promoting Partnership Initiative
proms.ac.uk, King's College London
prospects.ac.uk, Higher Education Careers Service Unit
proudman-oceanographic-lab.ac.uk, Proudman Oceanographic Laboratory
provide.ac.uk, University of Bristol
prowe.ac.uk, The Open University
prs-ltsn.ac.uk, Philosophical and Religious Studies Subject Centre - Learning and Teaching Support Network
psa.ac.uk, The Political Studies Association
psc.ac.uk, Peter Symonds' College
psci-com.ac.uk, The University of Manchester
psigate.ac.uk, Physical Sciences Gateway
pssru.ac.uk, The University of Manchester
publicengagement.ac.uk, University of Bristol
publichealth.ac.uk, Faculty of Public Health
publicinterest.ac.uk, University of Strathclyde
publicservices.ac.uk, University of Oxford
purchasecards.ac.uk, Procureweb
pursglove.ac.uk, Prior Pursglove College
qaa.ac.uk, The Quality Assurance Agency for Higher Education
qac.ac.uk, Queen Alexandra College
qacollege.ac.uk, Queen Alexandra College
qbsc.ac.uk, Queens Business & Secretarial College
qeliz.ac.uk, Queen Elizabeth Sixth Form College
qmbsc.ac.uk, Queens Marlborough Business & Secretarial College
qmc.ac.uk, Queen Mary's College
qmced.ac.uk, "Queen Margaret University,  Edinburgh"
qmpgmc.ac.uk, Queen Mary's Postgraduate Medical Centre
qmu.ac.uk, "Queen Margaret University,  Edinburgh"
qmuc.ac.uk, "Queen Margaret University,  Edinburgh"
qmul.ac.uk, "Queen Mary and Westfield College,  University of London"
qmw.ac.uk, "Queen Mary and Westfield College,  University of London"
qoru.ac.uk, University of Kent
qualidata.ac.uk, Economic and Social Data Service
qub.ac.uk, The Queen's University of Belfast
qube.ac.uk, City University London
queens-belfast.ac.uk, Queen's University Belfast
queens.ac.uk, Queens College Birmingham
queensu.ac.uk, Queens University International Study Centre
quercus.ac.uk, The Queen's University of Belfast
quest-esm.ac.uk, The University of Reading
ra-review.ac.uk, Higher Education Funding Council for England
raa.ac.uk, Royal Academy of Arts
rac.ac.uk, Royal Agricultural College
racals.ac.uk, Redcar & Cleveland Borough Council
racc.ac.uk, Richmond Adult & Community College
rada.ac.uk, Royal Academy of Dramatic Art
radioresearch.ac.uk, Radio Research - Bournemouth University Media School
rae.ac.uk, Higher Education Funding Council for England
raft.ac.uk, Raft Institute
ram.ac.uk, Royal Academy of Music
randd.ac.uk, CLRC
rareview.ac.uk, Higher Education Funding Council for England
rascal.ac.uk, The RASCAL Project
rave.ac.uk, Ravensbourne
ravemedia.ac.uk, Ravensbourne
ravensbourne.ac.uk, Ravensbourne
rbge.ac.uk, Royal Botanic Garden Edinburgh
rbgkew.ac.uk, Royal Botanic Gardens
rbsl.ac.uk, Regents Business School London
rbslondon.ac.uk, Regent's College
rc-harwell.ac.uk, Science and Technology Facilities Council
rca.ac.uk, Royal College of Art
rcahmw.ac.uk, Royal Commission on the Ancient and Historical Monuments of Wales
rcc.ac.uk, Ripon College Cuddesdon
rcds.ac.uk, Royal College of Defence Studies
rcm.ac.uk, Royal College of Music
rcnde.ac.uk, UK Research Centre in Nondestructive Evaluation
rcni.ac.uk, Royal College of Nursing
rcoa.ac.uk, The Royal College of Anaesthetists
rcophth.ac.uk, The Royal College of Ophthalmologists
rcpch.ac.uk, Royal College of Paediatrics and Child Health
rcpe.ac.uk, Royal College of Physicians (Edinburgh)
rcplondon.ac.uk, Royal College of Physicians of London
rcpo.ac.uk, The Engineering and Physical Sciences Research Council
rcpsg.ac.uk, University of Glasgow
rcpsglasg.ac.uk, Royal College of Physicians & Surgeons of Glasgow
rcpsych.ac.uk, The Royal College of Psychiatry
rcr.ac.uk, The Royal College of Radiologists
rcs.ac.uk, The Royal Conservatoire of Scotland
rcsed.ac.uk, Royal College of Surgeons of Edinburgh
rcseng.ac.uk, Royal College of Surgeons of England
rcuk.ac.uk, The Engineering and Physical Sciences Research Council
rcukssc.ac.uk, Natural Environment Research Council
rcvs.ac.uk, Royal College of Veterinary Surgeons
rdg.ac.uk, The University of Reading
rdi.ac.uk, University of Southampton
rdn.ac.uk, Resource Discovery Network
rdnet.ac.uk, RDNet - Resource Discovery Network
re-net.ac.uk, Training and Development Agency for Schools
reading-college.ac.uk, Oxford and Cherwell Valley College
reading.ac.uk, The University of Reading
reag.ac.uk, Procureweb
realcaledonian.ac.uk, Glasgow Caledonian University
realisingopportunities.ac.uk, University of Newcastle upon Tyne
reallifemethods.ac.uk, National Centre for e-Social Science
reap.ac.uk, University of Strathclyde
reaseheath.ac.uk, Reaseheath College
redbridge-college.ac.uk, Redbridge College
redbridge-iae.ac.uk, Redbridge London Borough Council
redbridge.ac.uk, Redbridge College
reednet.ac.uk, Harper Adams University College
ref.ac.uk, Higher Education Funding Council for England
regard.ac.uk, Research Grants Archive & Database
regener8.ac.uk, University of Leeds
regent-academy.ac.uk, Regent Academy of Fine Arts
regent-college.ac.uk, Regent College
regents-tc.ac.uk, Elim Foursquare Gospel Alliance
regents.ac.uk, Regent's College
regentscollege.ac.uk, Regent's College
regional-studies-assoc.ac.uk, Regional Studies Association
regionalsciencecentreoldham.ac.uk, Oldham Sixth Form College
regionalvisions.ac.uk, University of Cambridge
reid-kerr.ac.uk, Reid Kerr College
reidkerr.ac.uk, Reid Kerr College
reigate.ac.uk, Reigate College
relateinstitute.ac.uk, Doncaster College
reload.ac.uk, University of Strathclyde
relu.ac.uk, University of Newcastle upon Tyne
ren.ac.uk, Arts and Humanities Research Council
rendleshamtc.ac.uk, Otley College of Agriculture and Horticulture
rerc.ac.uk, Birkbeck College
research-councils.ac.uk, Research Councils Head Office
research-socialsciences.ac.uk, London School of Economics
researchconcordat.ac.uk, Research Councils UK
researchersinresidence.ac.uk, AEA Technology plc
researchscotland.ac.uk, University of Aberdeen
resl.ac.uk, The Open University
restore.ac.uk, University of Southampton
results.ac.uk, The University of Manchester
rewind.ac.uk, University of Dundee
rfdc.ac.uk, Gloucestershire College of Arts and Technology
rfhsm.ac.uk, Royal Free Hospital School of Medicine
rgo.ac.uk, Royal Greenwich Observatory
rgu.ac.uk, The Robert Gordon University
rhbnc.ac.uk, Royal Holloway and Bedford New College
rhcda-aac.ac.uk, Philosophical and Religious Studies Subject Centre - Learning and Teaching Support Network
rhfc.ac.uk, Swansea University
rhs.ac.uk, Royal Historical Society
rhul.ac.uk, Royal Holloway and Bedford New College
rhyac.ac.uk, Welsh Education Research Network (WERN)
ri.ac.uk, Royal Institution of Great Britain
riae.ac.uk, Redbridge Institute of Adult Education
richmond-utcoll.ac.uk, Richmond upon Thames College
richmond.ac.uk, Richmond The American International University in London
richmondbusinessschool.ac.uk, Richmond Adult Community College
richuish.ac.uk, Richard Huish College
riding.ac.uk, RIDING Project
rin.ac.uk, The British Library
ripon-cuddesdon.ac.uk, Ripon Theological College
riscl.ac.uk, Regent's College
